,IBM,MSFT,AAPL,AMZN,FB
2021-04-20.1. open,137.0700,257.8200,135.0200,3373.6000,301.9900
2021-04-20.2. high,139.7700,260.2000,135.5300,3382.9900,305.1000
2021-04-20.3. low,136.7000,256.8400,131.8100,3316.0000,297.2100
2021-04-20.4. close,138.1600,258.2600,133.1100,3334.6900,302.6500
2021-04-20.5. volume,15480579,19722875,94812349,2623032,16796442
2021-04-21.1. open,138.0600,258.9400,132.3600,3316.0000,301.9450
2021-04-21.2. high,143.7300,260.6800,133.7500,3362.8600,301.9800
2021-04-21.3. low,137.7100,257.2500,131.3001,3303.8061,297.3900
2021-04-21.4. close,143.5500,260.5800,133.5000,3362.0200,301.4700
2021-04-21.5. volume,11909005,24030383,68847136,2211166,14863474
2021-04-22.1. open,143.7000,260.2100,133.0400,3371.6800,301.3300
2021-04-22.2. high,144.7400,261.7800,134.1500,3372.8700,302.9200
2021-04-22.3. low,141.0000,255.6400,131.4100,3301.4500,296.0400
2021-04-22.4. close,141.2800,257.1700,131.9400,3309.0400,296.5200
2021-04-22.5. volume,7101368,25606152,84566456,2580590,16375350
2021-04-23.1. open,141.3100,257.8800,132.1600,3319.1000,298.7600
2021-04-23.2. high,143.6100,261.5100,135.1200,3375.0000,302.5900
2021-04-23.3. low,140.9500,257.2700,132.1600,3308.5000,297.1500
2021-04-23.4. close,142.4300,261.1500,134.3200,3340.8800,301.1300
2021-04-23.5. volume,4556700,21499286,78756779,3196652,17559498
2021-04-26.1. open,142.4200,261.6600,134.8300,3348.0000,303.3396
2021-04-26.2. high,143.6300,262.4350,135.0600,3428.4500,305.8000
2021-04-26.3. low,141.4800,260.1700,133.5600,3330.9400,301.5600
2021-04-26.4. close,141.5700,261.5500,134.7200,3409.0000,303.0400
2021-04-26.5. volume,4710763,19763346,66905069,4880708,16172593
2021-04-27.1. open,141.6900,261.5850,135.0100,3443.4700,304.2800
2021-04-27.2. high,142.5600,263.1900,135.4100,3460.0000,305.3400
2021-04-27.3. low,140.7500,260.1200,134.1100,3398.0100,301.1100
2021-04-27.4. close,142.0100,261.9700,134.3900,3417.4300,303.5700
2021-04-27.5. volume,3884037,31014213,66015804,3827140,15309256
2021-04-28.1. open,142.9200,256.0780,134.3100,3434.8000,307.3600
2021-04-28.2. high,143.4000,256.5399,135.0200,3489.8800,310.9200
2021-04-28.3. low,142.1000,252.9500,133.0800,3425.0000,305.3700
2021-04-28.4. close,143.0000,254.5600,133.5800,3458.5000,307.1000
2021-04-28.5. volume,3768129,46903119,107760097,4631884,33907210
2021-04-29.1. open,144.1300,255.4600,136.4700,3505.0981,330.1200
2021-04-29.2. high,148.7400,256.1000,137.0700,3514.4450,331.8100
2021-04-29.3. low,142.9800,249.0000,132.4500,3435.0000,321.6100
2021-04-29.4. close,144.2400,252.5100,133.4800,3471.3100,329.5100
2021-04-29.5. volume,4353880,40589023,151100953,7682381,56526771
2021-04-30.1. open,143.7000,249.7400,131.7800,3525.1200,326.1435
2021-04-30.2. high,143.8300,253.0800,133.5600,3554.0000,329.8200
2021-04-30.3. low,140.5500,249.6000,131.0650,3462.5000,324.5000
2021-04-30.4. close,141.8800,252.1800,131.4600,3467.4200,325.0800
2021-04-30.5. volume,8872181,30945098,109839466,7009346,26332423
2021-05-03.1. open,143.8100,253.4000,132.0400,3484.7300,326.1700
2021-05-03.2. high,145.7500,254.3500,134.0700,3486.6450,328.5500
2021-05-03.3. low,143.5500,251.1200,131.8300,3372.7012,321.8400
2021-05-03.4. close,144.7500,251.8600,132.5400,3386.4900,322.5800
2021-05-03.5. volume,5733463,19626568,75135100,5875530,18719462
2021-05-04.1. open,144.4100,250.9700,131.1900,3356.1900,320.0250
2021-05-04.2. high,146.5900,251.2100,131.4899,3367.9750,322.1900
2021-05-04.3. low,144.3300,245.7600,126.7000,3272.1300,313.1200
2021-05-04.4. close,145.7500,247.7900,127.8500,3311.8700,318.3600
2021-05-04.5. volume,6350479,32756052,137564718,5439449,24032557
2021-05-05.1. open,145.9400,249.0600,129.2000,3338.8550,318.1900
2021-05-05.2. high,145.9400,249.5000,130.4500,3354.6950,321.0600
2021-05-05.3. low,144.9700,245.8200,127.9700,3264.3600,314.4900
2021-05-05.4. close,145.2200,246.4700,128.1000,3270.5400,315.0200
2021-05-05.5. volume,3622800,21901325,84000900,3711308,15577605
2021-05-06.1. open,145.2600,246.4500,127.8900,3270.0000,314.5200
2021-05-06.2. high,148.5150,249.8600,129.7500,3314.4000,320.2400
2021-05-06.3. low,145.1800,244.6900,127.1300,3247.2000,313.2750
2021-05-06.4. close,148.4200,249.7300,129.7400,3306.3700,320.0200
2021-05-06.5. volume,7503487,26491085,78128334,4447696,19012241
2021-05-07.1. open,145.9200,252.1500,130.8500,3319.0900,322.3800
2021-05-07.2. high,146.1400,254.3000,131.2582,3330.8900,322.9350
2021-05-07.3. low,144.5700,251.1700,129.4750,3289.0704,318.7500
2021-05-07.4. close,145.4600,252.4600,130.2100,3291.6100,319.0800
2021-05-07.5. volume,7003467,27032912,78973273,4710276,15916743
2021-05-10.1. open,145.8000,250.8700,129.4100,3282.3200,314.3500
2021-05-10.2. high,148.3800,251.7300,129.5400,3283.0000,314.5786
2021-05-10.3. low,145.8000,247.1200,126.8100,3190.0000,304.8300
2021-05-10.4. close,146.1700,247.1800,126.8500,3190.4900,305.9700
2021-05-10.5. volume,6983377,29299890,88071229,5838603,24239170
2021-05-11.1. open,144.9900,244.5500,123.5000,3136.2800,300.7500
2021-05-11.2. high,145.1900,246.6000,126.2700,3238.0000,306.8400
2021-05-11.3. low,142.9000,242.5700,122.7700,3127.3700,299.6900
2021-05-11.4. close,144.2200,246.2300,125.9100,3223.9100,306.5300
2021-05-11.5. volume,7126404,33641589,126142826,4619781,18920086
2021-05-12.1. open,143.8400,242.1650,123.4000,3185.0000,301.1300
2021-05-12.2. high,144.1500,244.3800,124.6400,3207.9400,304.9600
2021-05-12.3. low,141.1400,238.0700,122.2500,3133.1000,298.1900
2021-05-12.4. close,141.3000,239.0000,122.7700,3151.9400,302.5500
2021-05-12.5. volume,5959579,36684370,112172282,4936410,24641010
2021-05-13.1. open,141.4500,241.8000,124.5800,3185.4700,306.0833
2021-05-13.2. high,144.9000,245.6000,126.1500,3203.8400,308.8600
2021-05-13.3. low,141.2800,241.4200,124.2600,3133.0000,302.7701
2021-05-13.4. close,144.1700,243.0300,124.9700,3161.4700,305.2600
2021-05-13.5. volume,4598920,29624298,105861339,3356877,18079160
2021-05-14.1. open,145.1100,245.5750,126.2500,3185.5600,309.5400
2021-05-14.2. high,145.6900,249.1800,127.8900,3228.8600,316.8500
2021-05-14.3. low,143.9600,245.4900,125.8500,3183.0000,309.0800
2021-05-14.4. close,144.6800,248.1500,127.4500,3222.9000,315.9400
2021-05-14.5. volume,2747385,23901081,81917951,3325022,19245724
2021-05-17.1. open,144.4400,246.5500,126.8200,3245.9300,313.5500
2021-05-17.2. high,145.8000,246.5900,126.9300,3292.7500,315.6800
2021-05-17.3. low,144.3300,243.5200,125.1700,3234.5900,311.5800
2021-05-17.4. close,145.1100,245.1800,126.2700,3270.3900,315.4600
2021-05-17.5. volume,4275172,24970168,74244624,3723925,15401343
2021-05-18.1. open,144.7800,246.2700,126.5600,3292.5750,315.5900
2021-05-18.2. high,145.3000,246.4100,126.9900,3312.0000,316.5000
2021-05-18.3. low,143.2300,242.9000,124.7800,3230.3700,309.8100
2021-05-18.4. close,143.9100,243.0800,124.8500,3232.2800,309.9600
2021-05-18.5. volume,3824050,20167975,63342929,2828391,14522403
2021-05-19.1. open,142.3200,239.3100,123.1600,3195.0000,304.1850
2021-05-19.2. high,143.2000,243.2300,124.9150,3234.7500,314.6600
2021-05-19.3. low,140.9200,238.6000,122.8600,3184.0000,303.5700
2021-05-19.4. close,143.1900,243.1200,124.6900,3231.8000,313.5900
2021-05-19.5. volume,4300732,25739807,92611989,2679708,19106244
2021-05-20.1. open,143.1200,243.9600,125.2300,3244.4042,313.5800
2021-05-20.2. high,144.9100,247.9500,127.7200,3259.6799,319.2500
2021-05-20.3. low,142.1600,243.8600,125.1000,3236.1800,313.1600
2021-05-20.4. close,143.8800,246.4800,127.3100,3247.6800,318.6100
2021-05-20.5. volume,4112690,21800716,76857123,2633192,17320241
2021-05-21.1. open,144.2800,247.5650,127.8200,3250.0000,319.2900
2021-05-21.2. high,145.6990,248.3300,128.0000,3256.6946,319.9300
2021-05-21.3. low,144.2800,244.7400,125.2100,3197.0100,315.8101
2021-05-21.4. close,144.7400,245.1700,125.4300,3203.0800,316.2300
2021-05-21.5. volume,4033482,21863058,79295436,4104882,13600901
