,IBM,MSFT,AAPL,AMZN,FB
2021-01-25.4. close,118.5800,229.5300,142.9200,3294.0000,278.0100
2021-01-25.5. volume,13686391,33152095,157611713,3749758,19086990
2021-01-26.1. open,119.1800,231.8600,143.6000,3296.3559,278.1398
2021-01-26.2. high,122.5900,234.1800,144.3000,3338.0000,285.3900
2021-01-26.3. low,118.4200,230.0800,141.3700,3282.8700,277.8100
2021-01-26.4. close,122.4900,232.3300,143.1600,3326.1300,282.0500
2021-01-26.5. volume,10694708,49169601,98390555,2955235,19373636
2021-01-27.1. open,122.0800,238.0000,143.4300,3341.4900,282.5300
2021-01-27.2. high,124.7900,240.4400,144.3000,3346.5200,283.4500
2021-01-27.3. low,121.6214,230.1400,140.4100,3207.0800,268.1201
2021-01-27.4. close,122.4700,232.9000,142.0600,3232.5800,272.1400
2021-01-27.5. volume,12146541,69870638,140843759,4660158,35346194
2021-01-28.1. open,122.8000,235.6100,139.5200,3235.0400,277.1800
2021-01-28.2. high,123.2000,242.6400,141.9900,3301.6800,286.7900
2021-01-28.3. low,120.0700,235.0900,136.7000,3228.6900,264.7000
2021-01-28.4. close,120.0800,238.9300,137.0900,3237.6200,265.0000
2021-01-28.5. volume,8084051,49111159,142621128,3149228,37758844
2021-01-29.1. open,120.2200,235.9900,135.8300,3230.0000,265.3000
2021-01-29.2. high,121.3000,238.0200,136.7400,3236.9900,266.5600
2021-01-29.3. low,118.9000,231.3500,130.2100,3184.5500,254.8500
2021-01-29.4. close,119.1100,231.9600,131.9600,3206.2000,258.3300
2021-01-29.5. volume,11825496,42503138,177523812,4293556,30389499
2021-02-01.1. open,119.9000,235.0600,133.7500,3242.3600,259.5200
2021-02-01.2. high,120.9500,242.5000,135.3800,3350.2600,264.1700
2021-02-01.3. low,118.7300,232.4300,130.9300,3235.0250,254.9100
2021-02-01.4. close,120.5400,239.6500,134.1400,3342.8800,262.0100
2021-02-01.5. volume,6250508,33314193,106239823,4160212,22914255
2021-02-02.1. open,119.3600,241.3000,135.7300,3380.0000,264.0000
2021-02-02.2. high,121.0000,242.3100,136.3100,3427.7400,268.8500
2021-02-02.3. low,119.2800,238.6900,134.6100,3361.1250,263.2700
2021-02-02.4. close,119.4400,239.5100,134.9900,3380.0000,267.0800
2021-02-02.5. volume,6311881,25678356,82266419,6183716,16964380
2021-02-03.1. open,119.0400,239.5700,135.7600,3425.0100,265.6200
2021-02-03.2. high,119.8000,245.0900,135.7700,3434.0000,269.2000
2021-02-03.3. low,118.1200,239.2600,133.6100,3308.6200,263.8400
2021-02-03.4. close,119.1200,243.0000,133.9400,3312.5300,266.6500
2021-02-03.5. volume,6715366,27158104,89880937,7088781,14223377
2021-02-04.1. open,119.9100,242.6600,136.3000,3330.0000,267.0100
2021-02-04.2. high,121.1000,243.2399,137.4000,3347.0000,268.1600
2021-02-04.3. low,118.8700,240.3700,134.5900,3277.7500,264.0000
2021-02-04.4. close,121.0200,242.0100,137.3900,3331.0000,266.4900
2021-02-04.5. volume,4562124,25296100,84183061,3670661,16059958
2021-02-05.1. open,121.0000,242.2300,137.3500,3319.0000,266.8000
2021-02-05.2. high,121.8100,243.2800,137.4200,3377.0000,269.1700
2021-02-05.3. low,120.5200,240.4200,135.8600,3302.7100,265.6700
